unique_id,name,edition,card_number,race,type,cost,power,health,loyalty,power_icons,traits,rules_text,illustrator,card_quantity
10021,Alith Anar,Oaths of Vengeance,21,High Elf,Legend,3,4,3,2,,,"Forced: When this legend enters play, you must burn 3 zones instead of 2 in order to win for the rest of the game. Action: When this legend attacks, turn target development you control faceup. If it is a [High Elf] unit with Ambush, trigger its ability as if it just ambushed and declare it as an attacker. Otherwise, sacrifice it.",John Sutherland,3
10040,All Out War,Oaths of Vengeance,40,Neutral,Tactic,3,,,0,,,"Play at the beginning of your Battlefield phase. Action: When you declare an attack against target opponent, that attack is against all of that opponent's non-burning zones. Defending opponent may declare defenders from all of his non-burning zones. This effect lasts until the end of the phase.",Daarken,3
06036,Alluring Chosen,Chaos Moon,36,Dark Elf,Unit,2,1,2,2,1,Sorceror,"Hit Points: 2 Sorceror. Action: When a unit enters an opponent's discard pile, this unit gains [Power] until the end of the turn. Your suffering pleases me.",Carolina Eade,3
02093,Alluring Daemonettes,Warpstone Chronicles,93,Chaos,Unit,5,2,3,1,2,Daemon,"Hit Points: 3 Daemon. Action: When this unit attacks, target unit must defend if able. The look, the feel of evil, slowly consuming your mind.",Karl Kopinski,3
03036,Altar of Khaine,Assault on Ulthuan,36,Dark Elf,Support,4,2,,2,2,Building,"Building. Kingdom. Action: If one of your units would be destroyed, you may pay 1 resource to instead return it to your hand. Blood and hate, both are sacred to Khaine.",Victor Corbella,
11005,Ancestral Engravings,Cataclysm,5,Dwarf,Support,4,2,,2,2,"Fortification, Rune","Fortification. Rune. Action: When this zone is attacked, this card becomes a unit with 4 hit points (and retains its power) until the end of the phase. It also counts as a support card.",Andrés Anezin,3
04023,Ancestral Tomb,The Fall of Karak Grimaz,23,Dwarf,Support,2,1,,2,1,Building,"Building. Action: When this card enters play, put the top two cards of your deck into this zone as developments.",Loren Fetterman,3
04078,Ancient Alliance,Redemption of a Mage,78,Neutral,Support,2,1,,0,1,Banner,"Banner. Order only. Limited (you cannot play more than one limited card per turn). (This Alliance provides a Dwarf, an Empire, and a High Elf Loyalty symbol.)",0 Comments,3
04105,Ancient Debts Repaid,Bleeding Sun,105,Dwarf,Quest,0,,,2,,,"Quest. You may spend any resource tokens on this card as though they were in your pool to play cards. Quest. Forced: When a [Dwarf] unit enters your discard pile from play, put a resource token on this quest if a unit is questing here.",Mark Smith,3
06001,Ancient Longbeards,Omens of Ruin,1,Dwarf,Unit,3,1,3,2,1,"Warrior, Elite","Hit Points: 3 Warrior. Elite. Action: When this unit attacks or defends, put the top card of your deck into this zone as a development. Hmph. Back in my day, they made the goblins bigger.",Ijur,3
03056,Ancient Map,Assault on Ulthuan,56,Neutral,Tactic,1,,,0,,,"Action: Search your deck for a quest card, reveal it to each player, and add it to your hand. Then, shuffle your deck.",Chris Pritchard,
08017,Ancient Stegadon,The Inevitable City,17,Neutral,Unit,6,3,5,0,3,"Lizardmen, Creature","Hit Points: 5 Lizardmen. Creature. Order only. Lower the cost to play this unit by 3 in a zone containing a Hero unit. As old as the Old Ones, or older.",Jason Juta,3
09044,Ancient Vengeance,The Accursed Dead,44,Dwarf,Support,3,,,3,0,Grudge,"Grudge. When your capital is dealt combat damage, you may put this card into play from your hand (in any zone). Lower the cost to play [Dwarf] units into this zone by 1 (to a minimum of 1).",A. L. Ashbaugh,3
02099,Ancient Waystone,Warpstone Chronicles,99,Neutral,Support,2,1,,0,1,,"Action: Spend 1 resource to deal 1 damage to any target unit in this corresponding zone. Use this ability only once per turn, and only if any player has played a Spell card this turn.",Liu Yang,3
09102,Anethra Helbane,Shield of the Gods,102,Dark Elf,Legend,6,2,3,4,,,"Whenever you have more than 5 cards in your hand, immediately discard down to 5 cards in your hand. Action: If you have fewer than 5 cards in your hand, draw until you have 5 cards in your hand. (Limit once per turn.) ""Coin is coin, whether taken by force or guile.""",Magali Villeneuve,3
04116,Angi'arie,Bleeding Sun,116,Dark Elf,Unit,4,2,4,3,2,Hero,"Hit Points: 4 Hero. Limit one Hero per zone. Action: At the beginning of your turn, treat target unit's text box as though it were blank until the end of the turn. Your skin parts like silk.",Kaya,3
02040,Animosity,Path of the Zealot,40,Neutral,Tactic,2,,,0,,,"Play after a zone is attacked. Action: Target unit must defend this turn, if able.",Brad Rigney,1
08090,Anlec Lookout,City of Winter,90,Dark Elf,Unit,3,1,1,1,1,Warrior,Hit Points: 1 Warrior. Counterstrike X. X is the highest loyalty on a [Dark Elf] card you control. Nothing slips by without taking one of my bolts first.,Magali Villeneuve,3
06057,Anointed Cauldron,The Twin Tailed Comet,57,Dark Elf,Support,3,1,,1,1,,"Siege. Action: When this zone is attacked, the attacking player discards a card from his hand. It takes the blood of three full-grown slaves to fill my cauldron. Don't waste a drop! - Nemain Feagh, Witch Hag",Paul [Prof] Herbert,3
02042,Anvil of Doom,Tooth and Claw,42,Dwarf,Support,3,1,,2,1,Building,"Building. Kingdom. Units in your battlefield with one or more Attachment cards attached gain [Power]. Mighty anvils, from which the Runelords shape their weapons.",Michael Phillippi,3
09025,Arachnarok Spider,Fragments of Power,25,Orc,Unit,7,4,5,4,4,Creature,"Hit Points: 5 Creature. Battlefield only. Feared 1. Action: When you play this unit from your hand, put up to 2 Goblin units into play in your battlefield from your hand.",Andrew Olson,3
11032,Arcane Instinct,Cataclysm,32,High Elf,Tactic,0,,,2,,Spell,Spell. Action: Cancel an Action just triggered that targets an opponent's card. The magisters of Hysh are valued for their wisdom and foresight.,Alexandre Dainche,3
11052,Arcane Orrery,Cataclysm,52,Neutral,Support,2,1,,0,1,Item,Item. Each player cannot play or put into play more than 1 card with the same title each turn.,Mike Capprotti,3
09057,Arcane Power,The Accursed Dead,57,Neutral,Tactic,1,,,0,,Spell,"Spell. Action: Draw a card. Then, if you control a legend or Artefact support card, return target card from your discard pile to your hand.",Cristi Balanescu,3
11028,Arcane Purifier,Cataclysm,28,High Elf,Unit,2,1,2,2,1,Mage,"Hit Points: 2 Mage. Action: When this unit enters or leaves play, heal all damage on target unit. ""Go now with Isha’s Blessing.""",Sandara Tang,3
07029,Archaon,Legends,29,Chaos,Legend,7,9,5,5,,,"Action: When Archaon attacks, spend X resources to deal X damage to target unit. ""Fear me, mortals, for I am the Anointed, the Favoured Son of Chaos, the Scourge of the World. The armies of the gods rally behind me, and it is by my will and by my sword that your weakling nations shall fall.""",Alexandru Sabo,3
01052,Archmage of Saphery,Core Set,52,High Elf,Unit,1,,1,1,0,Mage,"Hit Points: 1 Mage. Quest. Action: During your quest phase, you may heal 1 damage on one target unit. (Limit once per turn.)",Clint Langley,1
12010,"Ariel, Queen in the Woods",Hidden Kingdoms,10,Neutral,Legend,4,2,4,,,Wood Elf,,,
09035,Arkayne Vampire,Fragments of Power,35,Neutral,Unit,3,,2,0,0,"Undead, Vampire","Hit Points: 2 Undead. Vampire. Destruction only. This unit gains +1 hit point for each damage on it. Action: At the beginning of your turn, move 1 damage from target unit to this unit. That unit gets -1 hit point until the end of the turn.",Peter Tikos,3
07014,Armed To Da Teef,Legends,14,Orc,Tactic,2,,,1,,,Action: Take up to 2 Attachment support cards from your discard pile and attach them to target unit you control (following all restrictions).,Alexandru Sabo,3
01114,Armoury,Core Set,114,Neutral,Support,2,1,,0,1,Building,Building. Limited (you cannot play more than one limited card per turn). Kingdom. This card gains [Power] while you have at least two developments in this zone.,Dimitri Bielak,3
02028,Arrer Boyz,Path of the Zealot,28,Orc,Unit,4,1,3,2,1,Ranger,"Hit Points: 3 Ranger. Battlefield. Action: Spend 2 resources to deal 1 damage to one target unit in any battlefield. Arrer Boys then takes 1 damage. Shoot da horse, dem's gud eats!",Tony Moseley,3
06100,Asrai Longbow,The Eclipse of Hope,100,Neutral,Support,2,,,0,0,"Wood Elf, Attachment","Wood Elf. Attachment. Order only. Attach to a target unit you control. Action: When your capital is dealt damage, deal 2 damage to target unit in any corresponding zone.",A. L. Ashbaugh,3
04120,Assassin's Blade,Bleeding Sun,120,Neutral,Support,1,,,0,0,"Attachment, Weapon",Attachment. Weapon. Attach to a target unit in your battlefield. You may play this card any time you could take an action (paying all costs). Attached unit gains [Power].,Daarken,3
03019,Asuryan's Cleansing,Assault on Ulthuan,19,High Elf,Tactic,0,,,2,,Spell,"Spell. Action: Cancel and discard target unit or support card being played unless its controller spends all resources in his pool. (If no resources remain, opponent can spend 0 resources to spend ""all."") This act will cost you dearly!",Clint Langley,
11044,Atharti Night Maidens,Cataclysm,44,Dark Elf,Unit,3,1,3,1,1,Witch Elf,"Hit Points: 3 Witch Elf. Action: When a unit of cost 2 or less enters play, attach this unit to it. This unit then counts as an Attachment support card with the text ""Take control of attached unit and move it to your corresponding zone.""",Christina Davis,3
10091,Avelorn Sojourner,The Ruinous Hordes,91,High Elf,Unit,3,1,3,1,1,Mage,"Hit Points: 3 Mage. While this unit is questing, raise the cost of each tactic played by an opponent by 1. I accept this undertaking for Ulthuan.",Vincent,3
09027,Averheim Soldiers,Fragments of Power,27,Empire,Unit,2,,2,1,0,Warrior,"Hit Points: 2 Warrior. This unit deals +2 damage in combat. Action: When this unit defends, it gets +1 hit point for each resource token on quests you control until the end of the turn.",Mike Nash,3
07009,Azhag the Slaughterer,Legends,9,Orc,Legend,7,9,5,5,,,"Each damaged unit you control cannot be targeted by opponents' card effects. ""Wyvern's is good fer one thing, eatin' smashin' smellin' and flyin.' They're also good fer lettin' the other boyz know who's boss!""",Mathias Kollros,3
08102,Baby Squig,The Imperial Throne,102,Orc,Unit,0,,1,2,0,Creature,"Hit Points: 0 Creature. Forced: At the beginning of your turn, deal 1 damage to another target unit you control in this zone. Eaaah! Dis liddle grubber bit me!",Blake Henriksen,3
11056,Balewind Vortex,Cataclysm,56,Neutral,Fulcrum,1,,,0,,,"Forced: When this fulcrum is channeled, deal 2 uncancellable indirect damage to each opponent. Damage must be assigned to units first, if able.",Juan Carlos Barquet,1
10101,Balthasar Gelt,Faith and Steel,101,Empire,Legend,3,1-2-1,3,2,,,"Forced: When this legend enters play, you must burn 3 zones instead of 2 in order to win for the rest of the game. Lower the cost of the first card you play on your turn by 1 for each experience attached to this legend. Action: When this legend attacks, attach 1 experience to it.",0 Comments,3
10026,Band Together,Oaths of Vengeance,26,Dwarf,Tactic,2,,,2,,,"Dwarf only. Ambush 0. Action: Gain 3 resources. Steady, lads. Hold together now!",Jim Nelson,3
02069,Banish,The Deathmaster's Dance,69,High Elf,Tactic,3,,,2,,,"Action: Return one target unit without any Attachment cards on it to its owner's hand. Begone creature, your presence is no longer required.",Karl Christenson,1
10014,Banna Bearer,Days of Blood,14,Orc,Unit,4,2,3,2,2,Standard Bearer,"Hit Points: 3 Standard Bearer. Action: When a Hero or legend you control is declared as an attacker, pay 2 resources to put this unit into play in your battlefield, declared as an attacker.",J. B. Casacop,3
01071,Banna of da Red Sunz,Core Set,71,Orc,Support,4,2,,1,2,Banner,Banner. Kingdom. Each opponent that collects 7 or more resources for his kingdom phase must assign one of those resources as a damage token to a target unit of your choice.,Mark Molnar,1
08042,Banna Thief,The Iron Rock,42,Orc,Unit,2,0,2,1,0,"Goblin, Standard Bearer","Hit Points: 2 Goblin. Standard Bearer. Action: When a unit enters this zone, target unit gains [Power] until the end of the turn. We gotz ur banners! We gotz ur banners!",Derk Venneman,3
08087,Bannerman of the Crag,City of Winter,87,Dark Elf,Unit,2,,2,1,0,Standard Bearer,"Hit Points: 2 Standard Bearer. Action: When a unit enters this zone, discard the top card of target player's deck. A serpentine standard that renews the resolve of the Dark Elves.",Igor Kieryluk,3
08086,Barbed Snares,City of Winter,86,Dark Elf,Tactic,1,,,2,,,"Action: Discard the top 2 cards of target opponent's deck. Then, you may put this card on top of your deck. Not your average snare. Not your average prey.",Peter Tikos,3
04095,Barbed Whip,The Fourth Waystone,95,Dark Elf,Support,1,,,3,0,"Attachment, Weapon","Attachment. Weapon. Attach to a target [Dark Elf] unit. Action: When attached unit attacks, target unit in the defending zone gets -1 hit points until the end of the turn.",Cory Turner,3
06111,Barracks of Chrace,Fiery Dawn,111,High Elf,Support,2,1,,1,1,Building,"Building. Action: When you play a development from your hand, look at the top card of your deck. You may put it on the top or bottom of your deck.",Marco Caradonna,3
06026,Bash 'Em!,Chaos Moon,26,Orc,Tactic,5,,,3,,,"Action: There is an additional battlefield phase this turn, following the first battlefield phase this turn. Keep 'ittin' 'em until dey stopz movin'. Den lootz! - Classic goblin battleplan",Games Workshop Ltd,3
02091,Basha's Bloodaxe,Warpstone Chronicles,91,Orc,Support,2,,,1,0,"Attachment, Relic","Attachment. Relic. Attach to a target [Orc] unit. Corrupt that unit. Attached unit deals +2 damage in combat. While attached unit is attacking, double all damage dealt to the defending opponent's capital.",Brad Rigney,1
03040,Bathe in Blood,Assault on Ulthuan,40,Dark Elf,Tactic,1,,,1,,,"Action: Choose one target [Dark Elf] unit. Double that unit's power until the end of the turn. At the end of the turn, sacrifice it. Draw strength from Khaine's gift.",John Gravato,
06117,Bathe in the Cauldron,Fiery Dawn,117,Dark Elf,Tactic,3,,,3,,,Action: Choose a target player. That player discards the top 5 cards of his deck. Draw a card for each unit discarded this way.,Alan Lathwell,3
04058,Battle Pilgrims,The Silent Forge,58,Neutral,Unit,2,1,2,0,1,"Bretonnian, Warrior",Hit Points: 2 Bretonnian. Warrior. Order only. Action: Sacrifice this unit to destroy target corrupted unit. Blessed is the Grail Knight we follow.,Leonardo Borazio,3
03047,Battle Standard,Assault on Ulthuan,47,Empire,Support,0,,,1,0,Attachment,"Attachment. Attach to a target unit you control. Action: At the beginning of your battlefield phase, you may move this unit to a different zone.",Caravan Studio,
07018,Battle Wizard,Legends,18,Empire,Unit,3,1,3,2,1,Mage,"Hit Points: 3 Mage. If this unit defends and survives combat, return all attacking units to their owners' hands.",Jeff Himmelman,3
11027,Bearer of Eight,Cataclysm,27,High Elf,Unit,3,1,3,1,1,Mage,"Hit Points: 3 Mage. Battlefield. Action: At the end of your battlefield phase, if this unit did not attack this turn, deal 2 indirect damage to each opponent",Alexandre Dainche,3
02113,Beast of Chaos,Arcane Fire,113,Chaos,Unit,4,3,1,3,3,Creature,Hit Points: 1 Creature. Battlefield only.,Ralph Horsley,3
04114,Beast of Rot,Bleeding Sun,114,Chaos,Unit,5,2,4,2,2,Creature,Hit Points: 4 Creature. Lower the cost to play this unit by 1 for each Disease card in play. Beast of Rot gains [Power] for each Disease card in play. It breathes pestilence.,Adam Bray,3
06075,Beastlord Rakarth,Signs in the Stars,75,Dark Elf,Unit,3,2,2,2,2,Hero,"Hit Points: 2 Hero. Limit one Hero per zone. Action: When this unit attacks, put a random card from the defending player's hand facedown as a development into the defending zone.",Oleg Saakyan,3
09060,Beastman Incursion,The Accursed Dead,60,Chaos,Quest,2,,,2,,Invasion,"Invasion. Play in any opponent's zone, under his control. Forced: At the beginning of your turn, you must sacrifice a non-development, non-quest card in this zone, if able. Action: At the beginning of your battlefield phase, skip the rest of your battlefield phase to destroy this card if a unit is questing here.",Games Workshop Ltd.,3
08054,Beastman Shaman,The Iron Rock,54,Chaos,Unit,3,2,1,3,2,Sorcerer,"Hit Points: 1 Sorcerer. Action: When a [Chaos] unit you control is corrupted, draw a card. The omens are favorable. The shaman will show us the way.",Games Workshop Ltd,3
05054,Beguile,March of the Damned,54,Neutral,Tactic,2,,,0,,"Undead, Spell","Undead. Spell. Destruction only. Action: Target unit deals damage equal to its power to another target unit in its zone. ""Look into my eyes. Listen to my voice. Bend to my will."" - Countess Iseara",Winnoa Nelson,3
06061,Beleaguered Scout,Signs in the Stars,61,Dwarf,Unit,3,1,2,1,1,Ranger,"Hit Points: 2 Ranger. Action: Sacrifice a development to deal 1 damage to target attacking unit. This? This is nothing, lad. That time on the peaks when I'd lost me quarrels, me firestone, and me ale? That was bad - Bronn Greybeard",Santiago Villa,3
02094,Berserk Fury,Warpstone Chronicles,94,Chaos,Tactic,2,,,3,,,"Action: One target unit gains [Power][Power][Power] until the end of the turn. At the end of the turn, that unit takes 2 damage. Blood! Hate! Skulls! Rage!",Sam Wood,3
01067,Big 'Uns,Core Set,67,Orc,Unit,3,1,2,1,1,Warrior,"Hit Points: 2 Warrior. Battlefield. Your damaged units gain Toughness 1. ""Red eyed brutes, the larger ones seem to be natural leaders of their kind."" - Gavius Klugge",Adrian Smith,1
06084,Big Boss,The Eclipse of Hope,84,Orc,Unit,6,3,5,3,3,Warrior,"Hit Points: 5 Warrior. Forced: At the beginning of your turn, the unit with the lowest printed cost must be sacrificed. You choose in case of a tie. Oi! 'ooz in charge 'ere!?",Ty,3
11013,Big Guns,Cataclysm,13,Orc,Support,2,,,2,0,Condition,"Condition. Battlefield. Each attacking [Orc] unit deals +1 damage in combat. ""Neva' a bad time to break dese out!""",Carl Folmer,3
05027,Black Dragon Rider,March of the Damned,27,Dark Elf,Unit,5,3,4,3,3,"Warrior, Elite","Hit Points: 4 Warrior. Elite. Forced: When this unit is opposed in combat, all attacking and defending units get -1 hit points until the end of the turn.",Clint Langley,3
04055,Black Guard Aspirant,The Silent Forge,55,Dark Elf,Unit,4,2,3,1,2,"Elite, Warrior",Hit Points: 3 Elite. Warrior. This unit gains [Power] while any unit has one or more cards attached to it. You must strike at the base of the neck for maximum efficiency.,Kaya,3
09113,Black Guards,Shield of the Gods,113,Dark Elf,Unit,4,2,5,2,2,Bodyguard,"Hit Points: 5 Bodyguard. This unit can attack or defend (from any zone) whenever a [Dark Elf] legend you control attacks or defends. Many Druchii enter the regimens of the Black Guard of Naggarond, but only the strongest survive to serve the Witch King.",Diego Gisbert,3
07041,Black Horror,Legends,41,Dark Elf,Tactic,2,,,2,,Spell,Spell. Action: Choose a target unit with printed cost 2 or lower. Put that unit on the bottom of its owner's deck.,Matt Zeilinger,3
08056,Black Knight,The Iron Rock,56,Neutral,Unit,4,2,2,0,2,"Bretonnian, Knight","Hit Points: 2 Bretonnian. Knight. Quest. While this unit is questing, opponents draw 1 few card during the quest phase (to a minimum of 1). Cast out of Mousillian, the Black Knight roams the lands. His quest is his own.",Ignacio Lazcano,3
04043,Black Knights of Morr,The Silent Forge,43,Empire,Unit,4,2,3,2,2,Knight,"Hit Points: 3 Knight. Action: When a unit enters this zone, target unit cannot defend until the end of the turn. May Morr guide you in the death I bring you.",Clint Langley,3
01060,Black Orc Squad,Core Set,60,Orc,Unit,3,1,4,1,1,"Warrior, Elite","Hit Points: 4 Warrior. Elite. Big 'Uns, wif big axes.",Games Workshop Ltd,3
06070,Bladelord,Signs in the Stars,70,High Elf,Unit,5,3,4,2,3,"Warrior, Elite","Hit Points: 4 Warrior. Elite. Redirect the first 2 damage dealt to this unit each turn to another target unit in any corresponding zone. A fine attempt, but you are no match for a master of the Path of the Autumn Wind.",Magali Villeneuve,3
09055,Bladesinger,The Accursed Dead,55,Neutral,Unit,5,3,2,0,3,"Wood Elf, Elite","Hit Points: 2 Wood Elf. Elite. Order only. Action: When one of your zones with at least 3 developments is attacked, put this unit into play in that zone from your hand, declared as a defender. Action: If this unit has 2 or less damage on it or assigned to it, return this unit to the top of its owner's deck.",Carolina Eade,3
07042,Bladewind,Legends,42,Dark Elf,Tactic,1,,,2,,Spell,"Spell. Action: Target opponent discards a card from his hand. Then, draw a card.",S. C. Watson,3
07007,Blasting Charge,Legends,7,Dwarf,Tactic,3,,,2,,,"Action: Choose a zone. Destroy up to 3 developments in that zone. Then, each player takes 3 indirect damage (players allocate their own indirect damage).",Rio Sabda,3
09016,Blessed Enchantress,Rising Dawn,16,Neutral,Unit,3,1,2,0,1,Enchantress,"Hit Points: 2 Enchantress. Order only. Forced: When another card effect puts at least 1 resource token on a quest in this zone, put 1 additional resource token on that quest.",Charles Urbach,3
07020,Blessed Hammer,Legends,20,Empire,Support,2,,,2,0,Attachment,"Attachment. Attach to a target unit you control. Attached unit gains Counterstrike 2. If attached unit leaves play, you may spend 2 resources to return Blessed Hammer to its owner's hand.",Tom Garden,3
05042,Blessed Spawning,March of the Damned,42,Neutral,Tactic,3,,,0,,"- Lizardmen, Order only.","Lizardmen. Order only. Action: Search the top five cards of your deck for a Lizardmen unit with printed cost 4 or less and put it into play (in any zone). Then, shuffle your deck.",Leonardo Borazio,3
08053,Blessing of Asuryan,The Iron Rock,53,High Elf,Support,2,,,2,0,"Attachment, Condition","Attachment. Condition. Attach to a target Mage unit you control. Attached unit gains [Power]. Action: At the end of your battlefield phase, if attached unit did not attack, put a Spell card from your discard pile on top of your deck.",Matt Zeilinger,3
01053,Blessing of Isha,Core Set,53,High Elf,Support,0,,,1,0,"Attachment, Spell","Attachment. Spell. Attach to a target unit. Restore that unit, if able. Attached unit cannot be corrupted.",Ilich Henriquez,1
04107,Blessing of Myrmidia,Bleeding Sun,107,Empire,Tactic,1,,,2,,,Action: Each of your attacking or defending Knight units gains [Power] until the end of the turn. May your blade bring order to the chaos of the world.,John Wigley,3
02043,Blessing of Valaya,Tooth and Claw,43,Dwarf,Tactic,2,,,1,,"Spell, Rune","Spell. Rune. Action: The next 2 damage dealt to one target unit are redirected to another target unit. Ancestor Valaya, shine your light upon me.",Dave Gallagher,3
02115,Blessings of Tzeentch,Arcane Fire,115,Chaos,Tactic,3,,,1,,Spell,"Spell. Action: Sacrifice a unit. If you do, you may reveal the top five cards of your deck. Randomly choose a unit revealed this way and put it into play (you choose which zone). Then, shuffle the remaining cards into your deck. It is fate, and time to embrace the change.",Eric Polak,3
07010,Blind River Goblin,Legends,10,Orc,Unit,2,1,2,1,1,Goblin,"Hit Points: 2 Goblin. If you control a legend, this unit gains [Power]",Chun Lo,3
07053,Blood Dragon Knight,Legends,53,Neutral,Unit,4,2,4,0,2,"Undead, Vampire.","Hit Points: 4 Undead. Vampire. Destruction only. Action: When this unit attacks, deal damage equal to its power to target unit in the defending zone.",Sym7,3
12036,Blood Feast,Hidden Kingdoms,36,Neutral,Tactic,2,,,,,Undead,- Destruction only. Action: Choose a player. Target Vampire unit deals +1 damage in combat for each unit in that player's discard pile until the end of the turn.,,
01103,Blood for the Blood God,Core Set,103,Chaos,Tactic,2,,,2,,,Action: Choose a target unit in any battlefield. Deal damage to that unit equal to its power. Skulls for the Skull Throne!,Clint Langley,2
03053,Blood Frenzy,Assault on Ulthuan,53,Chaos,Support,1,,,3,0,Attachment,"Attachment. Attach to a target unit in your battlefield. Attached unit gains [Power] for each resource token on this card. Forced: Each time an opponent's unit enters a discard pile from play, put a resource token on this attachment.",Santiago Villa,
12052,Blood Offering,Hidden Kingdoms,52,Dark Elf,Support,0,,,,,Tribute,- Action: Sacrifice this card to ignore the loyalty cost of the next Dark Elf card you play this turn.,,
05039,Blood Shrine of Sotek,March of the Damned,39,Neutral,Support,2,1,,0,1,"Lizardmen, Order only, Building.",Lizardmen. Building. Order only. Your Lizardmen units in this zone gain +1 hit points.,Zachary Graves,3
05025,Blood Summoning,March of the Damned,25,Chaos,Tactic,0,,,3,,Spell,Spell. Action: Corrupt X units you control to lower the cost of the next [Chaos] unit you play this turn by X.,Ryan Barger,3
09024,Blood Vengeance,Fragments of Power,24,Dwarf,Support,3,,,3,0,Grudge,"Grudge. When your capital is dealt combat damage, you may put this card into play from your hand (in any zone). Each [Dwarf] unit in this zone deals +1 damage in combat.",Adam Lane,3
05023,Bloodboil Fever,March of the Damned,23,Chaos,Support,1,,,2,0,"Attachment, Disease","Attachment. Disease. Attach to a target unit. Action: At the beginning of its controller's turn, put a resource token on this card. Then, deal X damage to the attached unit. X is the number of resource tokens on this card.",Winnoa Nelson,3
04093,Bloodburn Poison,The Fourth Waystone,93,Dark Elf,Tactic,1,,,2,,,Action: Deal 1 damage to target unit. That unit loses [Power] until the end of the turn. One scratch fills your veins with fire.,Jason Ward,3
06055,Bloodcall Sorceress,The Twin Tailed Comet,55,Dark Elf,Unit,3,1,3,2,1,Sorceror,"Hit Points: 3 Sorceror. Action: When you play a development from your hand, put a resource token on this unit. Then, up to X target units lose [Power][Power] until the end of the turn. X is the number of resource tokens on this unit.",Magali Villeneuve,3
11034,Bloodcrusher,Cataclysm,34,Chaos,Unit,5,3,5,3,3,Daemon,Hit Points: 5 Daemon. Lower the cost to play this unit by 1 for each burning zone. The small of blood and sweat draws all types.,JB Casacop,3
12034,Blooddrinker,Hidden Kingdoms,34,Neutral,Support,1,,,,,"Undead, Weapon, Artefact",- Destruction only. Attach to a target Vampire unit or legend you control. Attached unit or legend gains hit points eqal to the number of cards in all opponents' hands.,,
07031,Bloodletter,Legends,31,Chaos,Unit,4,3,3,2,3,Daemon,Hit Points: 3 Daemon. Double all damage assigned to units as it is being assigned.,Dimitri Bielak,3
12051,Bloodlust,Hidden Kingdoms,51,Dark Elf,Tactic,2 +,,,,,,"- Play only if you control at least 1 unit. Action: Each player targets a unit. Then, destroy each targeted unit.",,
02031,Bloodsworn,Path of the Zealot,31,Chaos,Unit,4,2,3,1,2,Warrior,"Hit Points: 3 Warrior. Forced: When an opponent's unit enters a discard pile from play, heal all damage on Bloodsworn. Your blood belongs to our master.",Clint Langley,3
01092,Bloodthirster,Core Set,92,Chaos,Unit,8,5,8,5,5,Daemon,"Hit Points: 8 Daemon. Damage cannot be cancelled. Forced: After your turn begins, each player must sacrifice a unit in this corresponding zone. ""A worthy death, as long as it goes with me."" - Gurni Thorgrimson",Daarken,1
